"","","2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"lx - number of people left alive at age x"," 20-24 years","98844.16111","98707.94402","99000.13658","98536.50529","98371.71263","98724.1312","97960.00149","97756.3787","98193.0049","96920.46755","96636.12017","97242.01226","96060.67672","95741.39908","96412.61428"
"lx - number of people left alive at age x"," 25-29 years","98566.32946","98317.91166","98849.34641","98267.73771","98003.76948","98565.8752","97629.36836","97305.14643","97991.9752","96559.3495","96154.39899","97009.4245","95617.39214","95226.26376","96045.87544"
"lx - number of people left alive at age x"," 30-34 years","98265.43152","97888.59525","98690.41935","97949.72637","97546.54603","98397.4335","97253.09221","96796.94291","97755.98946","96175.51633","95640.5317","96764.11534","95101.91186","94687.0133","95555.60801"
"lx - number of people left alive at age x"," 35-39 years","97848.8149","97291.17844","98467.48836","97525.00631","96943.14537","98162.73053","96730.05431","96071.51177","97448.21161","95625.82064","94911.5131","96405.35604","94385.64834","93919.66537","94892.66306"
"lx - number of people left alive at age x"," 40-44 years","97243.32699","96432.22612","98131.72551","96934.61736","96127.49481","97812.07103","96038.44128","95120.83948","97032.47758","94771.08582","93781.26615","95840.32658","93454.8982","92754.36229","94211.03639"
"lx - number of people left alive at age x"," 45-49 years","96337.45724","95172.9795","97603.39055","96017.69067","94868.79925","97259.57036","94967.15669","93659.53351","96372.19303","93530.00108","92155.55844","95011.72405","92126.17838","91073.26486","93259.68727"
"lx - number of people left alive at age x"," 50-54 years","95149.88464","93559.72482","96870.74055","94682.39819","92998.69258","96489.42091","93387.29791","91547.85789","95365.53281","91917.24144","90087.86666","93892.48227","90199.70262","88846.71103","91655.38121"
"lx - number of people left alive at age x"," 55-59 years","93288.18011","91099.87577","95643.99313","92737.77432","90432.28828","95216.8583","91238.30254","88749.16345","93926.78189","89172.6481","86700.2294","91850.80571","87334.39218","85335.12192","89490.99834"
"lx - number of people left alive at age x"," 60-64 years","90442.84415","87427.849","93697.97652","89722.88617","86521.46273","93183.82904","87932.02683","84565.34605","91588.48425","85086.87174","81699.3032","88781.03478","83326.59106","80180.56245","86815.47328"
"lx - number of people left alive at age x"," 65-69 years","86031.17207","81888.43526","90523.06508","84971.31222","80477.87266","89861.32717","82477.96942","77837.77249","87563.66398","79322.84617","74918.27475","84235.13141","77331.78178","73064.06239","82186.56072"
